净值日期,单位净值,日增长率,累计净值
2016-09-26,1.0,0.0,1.0
2016-09-27,1.0001,0.0,1.0001
2016-09-28,1.0002,0.01,1.0002
2016-09-29,1.0003,0.01,1.0003
2016-09-30,1.0003,0.0,1.0003
2016-10-10,1.001,0.07,1.001
2016-10-11,1.0011,0.01,1.0011
2016-10-12,1.0012,0.01,1.0012
2016-10-13,1.0012,0.0,1.0012
2016-10-14,1.0013,0.01,1.0013
2016-10-17,1.0015,0.02,1.0015
2016-10-18,1.0016,0.01,1.0016
2016-10-19,1.0017,0.01,1.0017
2016-10-20,1.0017,0.0,1.0017
2016-10-21,1.0018,0.01,1.0018
2016-10-24,1.002,0.02,1.002
2016-10-25,1.0019,-0.01,1.0019
2016-10-26,1.0012,-0.0699,1.0012
2016-10-27,1.0016,0.04,1.0016
2016-10-28,1.0018,0.02,1.0018
2016-10-31,1.0006,-0.1198,1.0006
2016-11-01,1.0,-0.06,1.0
2016-11-02,1.0002,0.02,1.0002
2016-11-03,1.0009,0.07,1.0009
2016-11-04,1.001,0.01,1.001
2016-11-07,1.0007,-0.03,1.0007
2016-11-08,1.0004,-0.03,1.0004
2016-11-09,1.0007,0.03,1.0007
2016-11-10,0.9992,-0.1499,0.9992
2016-11-11,0.9984,-0.0801,0.9984
2016-11-14,0.9974,-0.1002,0.9974
2016-11-15,0.9957,-0.1704,0.9957
2016-11-16,0.9958,0.01,0.9958
2016-11-17,0.9944,-0.1406,0.9944
2016-11-18,0.9941,-0.0302,0.9941
2016-11-21,0.9971,0.3018,0.9971
2016-11-22,0.9972,0.01,0.9972
2016-11-23,0.9981,0.0903,0.9981
2016-11-24,0.9984,0.0301,0.9984
2016-11-25,0.9979,-0.0501,0.9979
2016-11-28,0.9985,0.0601,0.9985
2016-11-29,0.9955,-0.3005,0.9955
2016-11-30,0.995,-0.0502,0.995
2016-12-01,0.991,-0.402,0.991
2016-12-02,0.9885,-0.2523,0.9885
2016-12-05,0.987,-0.1517,0.987
2016-12-06,0.9809,-0.618,0.9809
2016-12-07,0.9822,0.1325,0.9822
2016-12-08,0.9834,0.1222,0.9834
2016-12-09,0.9825,-0.0915,0.9825
2016-12-12,0.9769,-0.57,0.9769
2016-12-13,0.9735,-0.348,0.9735
2016-12-14,0.9704,-0.3184,0.9704
2016-12-15,0.9581,-1.2675,0.9581
2016-12-16,0.962,0.4071,0.962
2016-12-19,0.9587,-0.343,0.9587
2016-12-20,0.9573,-0.146,0.9573
2016-12-21,0.9617,0.4596,0.9617
2016-12-22,0.9672,0.5719,0.9672
2016-12-23,0.9674,0.0207,0.9674
2016-12-26,0.9668,-0.062,0.9668
2016-12-27,0.9661,-0.0724,0.9661
2016-12-28,0.9673,0.1242,0.9673
2016-12-29,0.9702,0.2998,0.9702
2016-12-30,0.9715,0.134,0.9715
2016-12-31,0.9716,0.0103,0.9716
2017-01-03,0.9714,-0.0103,0.9714
2017-01-04,0.9699,-0.1544,0.9699
2017-01-05,0.9676,-0.2371,0.9676
2017-01-06,0.9686,0.1033,0.9686
2017-01-09,0.9705,0.1962,0.9705
2017-01-10,0.972,0.1546,0.972
2017-01-11,0.9708,-0.1235,0.9708
2017-01-12,0.9688,-0.206,0.9688
2017-01-13,0.9688,0.0,0.9688
2017-01-16,0.9667,-0.2168,0.9667
