净值日期,单位净值,日增长率
2017-11-14,1.0,0.0
2017-11-17,1.0002,0.0
2017-11-24,1.0008,0.0
2017-12-01,1.0015,0.0
2017-12-08,1.0022,0.0
2017-12-15,1.0027,0.0
2017-12-22,1.0033,0.0
2017-12-29,1.0043,0.0
2017-12-31,1.005,0.0
2018-01-05,1.0064,0.0
2018-01-12,1.0068,0.0
2018-01-19,1.0074,0.0
2018-01-26,1.008,0.0
2018-02-02,1.0078,0.0
2018-02-09,1.0012,0.0
2018-02-12,1.0014,0.02
2018-02-13,1.0014,0.0
2018-02-14,1.0015,0.01
2018-02-22,1.002,0.0499
2018-02-23,1.002,0.0
2018-02-26,1.0021,0.01
2018-02-27,1.0021,0.0
2018-02-28,1.0021,0.0
2018-03-01,1.0021,0.0
2018-03-02,1.0021,0.0
2018-03-05,1.0022,0.01
2018-03-06,1.0022,0.0
2018-03-07,1.0022,0.0
2018-03-08,1.0022,0.0
2018-03-09,1.0023,0.01
2018-03-12,1.0024,0.01
2018-03-13,1.0024,0.0
2018-03-14,1.0024,0.0
2018-03-15,1.0025,0.01
2018-03-16,1.0025,0.0
2018-03-19,1.0026,0.01
2018-03-20,1.0026,0.0
2018-03-21,1.0025,-0.01
2018-03-22,1.0025,0.0
2018-03-23,1.0029,0.0399
2018-03-26,1.0027,-0.0199
2018-03-27,1.0022,-0.0499
2018-03-28,1.0019,-0.0299
2018-03-29,1.0017,-0.02
2018-03-30,1.0022,0.0499
2018-04-02,1.003,0.0798
2018-04-03,1.0042,0.1196
2018-04-04,1.0054,0.1195
2018-04-09,1.0058,0.0398
2018-04-10,1.0057,-0.0099
2018-04-11,1.0057,0.0
2018-04-12,1.0055,-0.0199
2018-04-13,1.0055,0.0
2018-04-16,1.0057,0.0199
2018-04-17,1.0048,-0.0895
2018-04-18,1.005,0.0199
2018-04-19,1.0065,0.1493
2018-04-20,1.0059,-0.0596
2018-04-23,1.0062,0.0298
2018-04-24,1.008,0.1789
2018-04-25,1.008,0.0
2018-04-26,1.0054,-0.2579
2018-04-27,1.0049,-0.0497
2018-05-02,1.0065,0.1592
2018-05-03,1.0086,0.2086
2018-05-04,1.009,0.0397
2018-05-07,1.0132,0.4163
2018-05-08,1.0137,0.0493
2018-05-09,1.0124,-0.1282
2018-05-10,1.0124,0.0
2018-05-11,1.0116,-0.079
2018-05-14,1.0142,0.257
2018-05-15,1.015,0.0789
2018-05-16,1.0155,0.0493
2018-05-17,1.0113,-0.4136
2018-05-18,1.0144,0.3065
2018-05-21,1.0149,0.0493
2018-05-22,1.0141,-0.0788
2018-05-23,1.0111,-0.2958
2018-05-24,1.0081,-0.2967
2018-05-25,1.0072,-0.0893
2018-05-28,1.0113,0.4071
2018-05-29,1.0094,-0.1879
2018-05-30,1.0057,-0.3666
2018-05-31,1.0141,0.8352
2018-06-01,1.01,-0.4043
2018-06-04,1.0151,0.505
2018-06-05,1.0214,0.6206
2018-06-06,1.0226,0.1175
2018-06-07,1.0219,-0.0685
2018-06-08,1.0193,-0.2544
2018-06-11,1.019,-0.0294
2018-06-12,1.0238,0.4711
2018-06-13,1.0213,-0.2442
2018-06-14,1.0203,-0.0979
2018-06-15,1.0186,-0.1666
2018-06-19,1.0056,-1.2763
2018-06-20,1.0096,0.3978
2018-06-21,1.01,0.0396
2018-06-22,1.0109,0.0891
2018-06-25,1.0094,-0.1484
2018-06-26,1.0074,-0.1981
2018-06-27,1.0008,-0.6552
2018-06-28,1.0004,-0.04
2018-06-29,1.0047,0.4298
2018-06-30,1.0048,0.0
2018-07-02,1.0024,-0.2289
2018-07-03,1.0023,-0.01
2018-07-04,1.001,-0.1297
2018-07-05,1.0012,0.02
2018-07-06,1.0024,0.1199
2018-07-09,1.0084,0.5986
2018-07-10,1.0088,0.0397
2018-07-11,1.006,-0.2776
2018-07-12,1.0122,0.6163
2018-07-13,1.0163,0.4051
2018-07-16,1.016,-0.0295
2018-07-17,1.0134,-0.2559
2018-07-18,1.0107,-0.2664
2018-07-19,1.0093,-0.1385
2018-07-20,1.01,0.0694
2018-07-23,1.0086,-0.1386
2018-07-24,1.015,0.6345
2018-07-25,1.0122,-0.2759
2018-07-26,1.0048,-0.7311
2018-07-27,1.0039,-0.0896
2018-07-30,0.9953,-0.8567
2018-07-31,0.9975,0.221
2018-08-01,0.9901,-0.7419
2018-08-02,0.98,-1.0201
2018-08-03,0.9661,-1.4184
2018-08-06,0.9567,-0.973
2018-08-07,0.9656,0.9303
2018-08-08,0.9568,-0.9114
2018-08-09,0.9677,1.1392
2018-08-10,0.9677,0.0
2018-08-13,0.9659,-0.186
2018-08-14,0.9638,-0.2174
2018-08-15,0.9546,-0.9546
2018-08-16,0.9499,-0.4924
2018-08-17,0.945,-0.5158
2018-08-20,0.9461,0.1164
2018-08-21,0.9541,0.8456
2018-08-22,0.9468,-0.7651
2018-08-23,0.9479,0.1162
2018-08-24,0.9447,-0.3376
2018-08-27,0.9585,1.4608
2018-08-28,0.9568,-0.1774
2018-08-29,0.9545,-0.2404
2018-08-30,0.9476,-0.7229
2018-08-31,0.9387,-0.9392
2018-09-03,0.9422,0.3729
