净值日期,单位净值,日增长率
2010-08-20,1.0,0.0
2010-08-27,1.001,0.1
2010-09-03,1.006,0.4995
2010-09-10,1.006,0.0
2010-09-17,1.004,-0.1988
2010-09-21,1.005,0.0996
2010-09-30,1.007,0.199
2010-10-08,1.013,0.5958
2010-10-15,0.994,-1.8756
2010-10-22,1.01,1.6097
2010-10-26,1.019,0.8911
2010-10-27,1.014,-0.4907
2010-10-28,1.013,-0.0986
2010-10-29,1.017,0.3949
2010-11-01,1.026,0.885
2010-11-02,1.024,-0.1949
2010-11-03,1.024,0.0
2010-11-04,1.03,0.5859
2010-11-05,1.033,0.2913
2010-11-08,1.038,0.484
2010-11-09,1.045,0.6744
2010-11-10,1.058,1.244
2010-11-11,1.051,-0.6616
2010-11-12,1.02,-2.9496
2010-11-15,1.042,2.1569
2010-11-16,1.027,-1.4395
2010-11-17,1.002,-2.4343
2010-11-18,1.01,0.7984
2010-11-19,1.026,1.5842
2010-11-22,1.031,0.4873
2010-11-23,1.022,-0.8729
2010-11-24,1.036,1.3699
2010-11-25,1.044,0.7722
2010-11-26,1.042,-0.1916
2010-11-29,1.044,0.1919
2010-11-30,1.028,-1.5326
2010-12-01,1.024,-0.3891
2010-12-02,1.02,-0.3906
2010-12-03,1.014,-0.5882
2010-12-06,1.002,-1.1834
2010-12-07,1.009,0.6986
2010-12-08,1.008,-0.0991
2010-12-09,0.993,-1.4881
2010-12-10,0.999,0.6042
2010-12-13,1.018,1.9019
2010-12-14,1.021,0.2947
2010-12-15,1.016,-0.4897
2010-12-16,1.013,-0.2953
2010-12-17,1.01,-0.2962
2010-12-20,1.002,-0.7921
2010-12-21,1.004,0.1996
2010-12-22,0.995,-0.8964
2010-12-23,0.985,-1.005
2010-12-24,0.975,-1.0152
2010-12-27,0.958,-1.7436
2010-12-28,0.952,-0.6263
2010-12-29,0.963,1.1555
2010-12-30,0.966,0.3115
2010-12-31,0.983,1.7598
2011-01-04,0.986,0.3052
2011-01-05,0.98,-0.6085
2011-01-06,0.975,-0.5102
2011-01-07,0.971,-0.4103
2011-01-10,0.952,-1.9567
