净值日期,单位净值,累计净值
2026-06-16,2.6066,2.6066
2026-06-17,2.6597,2.6597
2026-06-18,2.7116,2.7116
2026-06-22,2.7672,2.7672
2026-06-23,2.7457,2.7457
2026-06-24,2.8475,2.8475
2026-06-25,2.8915,2.8915
2026-06-29,2.8858,2.8858
2026-07-01,2.928,2.928
2026-07-02,2.8057,2.8057
2026-07-03,2.8035,2.8035
2026-07-06,2.8039,2.8039
2026-07-07,2.7767,2.7767
2026-07-08,2.7367,2.7367
2026-07-09,2.8726,2.8726
2026-07-10,2.7644,2.7644
2026-07-13,2.6675,2.6675
2026-07-14,2.6984,2.6984
2026-07-15,2.6527,2.6527
2026-07-16,2.5766,2.5766
